    n9  = (x6'x5')
   n10  = x5'
   n11  = x6'
   n12  = (n11'n10')
   n13  = (n12'n9')
   n14  = n13'
   n15  = x0'
   n16  = x1'
   n17  = x2'
   n18  = (n17'n16')
   n19  = (x2'x1')
   n20  = (n19'n18')
   n21  = n20'
   n22  = (n21'n15')
   n23  = n18'
   n24  = (n23'x0')
   n25  = (n24'n22')
   n26  = (x4'x3')
   n27  = n26'
   n28  = (n27'n25')
   n29  = n19'
   n30  = x3'
   n31  = x4'
   n32  = (n31'n30')
   n33  = n32'
   n34  = (n33'n29')
   n35  = n34'
   n36  = (n35'x0')
   n37  = (n36'n28')
   n38  = (n37'x7')
   n39  = (n33'n21')
   n40  = n39'
   n41  = x7'
   n42  = (n41'n15')
   n43  = n42'
   n44  = (n43'n40')
   n45  = (n44'n38')
   n46  = (n45'n14')
   n47  = n9'
   n48  = (n32'n26')
   n49  = n48'
   n50  = (n49'n47')
   n51  = (n41'x6')
   n52  = n51'
   n53  = (n52'x5')
   n54  = n12'
   n55  = (n54'x7')
   n56  = (n55'n53')
   n57  = (n56'n27')
   n58  = (n57'n50')
   n59  = (n58'n21')
   n60  = (n49'x1')
   n61  = (n60'n20')
   n62  = (n26'n19')
   n63  = (n62'n14')
   n64  = n63'
   n65  = (n64'n61')
   n66  = (n27'n54')
   n67  = (n33'n47')
   n68  = (n67'n66')
   n69  = (n68'n29')
   n70  = (n69'n65')
   n71  = n70'
   n72  = (n71'n59')
   n73  = (n72'x0')
   n74  = (n49'n25')
   n75  = (n27'n23')
   n76  = (n75'n34')
   n77  = (n76'n15')
   n78  = (n40'x0')
   n79  = (n78'n77')
   n80  = n79'
   n81  = (n80'n74')
   n82  = (n41'n10')
   n83  = (n82'n9')
   n84  = (n83'n51')
   n85  = n84'
   n86  = (n85'n81')
   n87  = (n33'n54')
   n88  = (n27'n47')
   n89  = (n88'n87')
   n90  = (n89'n25')
   n91  = (n23'n54')
   n92  = (n29'n47')
   n93  = (n92'n91')
   n94  = (n49'n15')
   n95  = n94'
   n96  = (n95'n93')
   n97  = (n96'n90')
   n98  = n97'
   n99  = (n98'n86')
  n100  = n99'
  n101  = (n18'n41')
  n102  = (n23'x7')
  n103  = (n102'n14')
  n104  = n103'
  n105  = (n104'n101')
  n106  = n105'
  n107  = (n20'x0')
  n108  = (n107'n22')
  n109  = n108'
  n110  = (n109'n106')
  n111  = (n29'x0')
  n112  = n111'
  n113  = (n112'n56')
  n114  = (n113'n110')
  n115  = (n114'n49')
  n116  = (n33'n23')
  n117  = (n27'n29')
  n118  = (n117'n116')
  n121  = (n84'n15')
  n122  = (n14'n41')
  n123  = (n122'n121')
  n124  = (n123'n118')
  n125  = (n124'n115')
  n126  = n125'
  n127  = (n126'n100')
  n128  = n127'
  n129  = (n128'n73')
  n130  = n129'
  n131  = (n130'n46')
  n132  = n131'
.
