   n11  = (x2'x0')
   n12  = x0'
   n13  = x2'
   n14  = (n13'n12')
   n15  = (n14'n11')
   n16  = x6'
   n17  = x8'
   n18  = (n17'n16')
   n19  = x7'
   n20  = (x8'n19')
   n21  = n20'
   n22  = (n21'x6')
   n23  = (n22'n18')
   n24  = x4'
   n25  = (n19'n24')
   n26  = (x7'x4')
   n27  = x1'
   n28  = x3'
   n29  = (n28'n27')
   n30  = n29'
   n31  = (n30'n26')
   n32  = n31'
   n33  = (n32'n25')
   n34  = n33'
   n35  = (n34'n23')
   n36  = n22'
   n37  = (x4'x3')
   n38  = n37'
   n39  = (n38'x1')
   n40  = n39'
   n41  = (n40'n36')
   n42  = (n41'n35')
   n43  = (n42'n15')
   n44  = (n28'x2')
   n45  = (n44'x4')
   n46  = (n24'x2')
   n47  = (n19'n12')
   n48  = n47'
   n49  = (n48'n46')
   n50  = n49'
   n51  = (n50'n45')
   n52  = n11'
   n53  = n26'
   n54  = (n53'n28')
   n55  = n54'
   n56  = (n55'n52')
   n57  = (n56'n51')
   n58  = (n17'n27')
   n59  = (x8'x1')
   n60  = (n59'n58')
   n61  = (n16'n28')
   n62  = (x6'x3')
   n63  = (n62'n61')
   n64  = n63'
   n65  = (n64'n60')
   n66  = n65'
   n67  = (n66'n57')
   n68  = n58'
   n69  = (n68'n11')
   n70  = n14'
   n71  = (n59'n70')
   n72  = n71'
   n73  = (n72'n69')
   n74  = n69'
   n75  = (n71'n74')
   n76  = (n75'n73')
   n77  = n25'
   n78  = n61'
   n79  = (n78'n77')
   n80  = n79'
   n81  = (n80'n76')
   n82  = (n81'n67')
   n83  = n82'
   n84  = (n83'n43')
   n85  = (x9'x5')
   n86  = n85'
   n87  = (n86'n84')
.
