   n11  = x8'
   n12  = x6'
   n13  = x7'
   n14  = x3'
   n15  = (n14'x0')
   n16  = (n15'n13')
   n17  = x1'
   n18  = (n17'x0')
   n19  = (n18'n16')
   n20  = (n19'n12')
   n21  = x0'
   n22  = (x6'n21')
   n23  = (n22'n15')
   n24  = (n23'n17')
   n25  = (n24'x4')
   n26  = n25'
   n27  = (n26'n20')
   n28  = (n14'n17')
   n29  = (n28'n12')
   n30  = n29'
   n31  = x4'
   n32  = (n31'n21')
   n33  = (n32'n13')
   n34  = (x7'x1')
   n35  = (n34'n33')
   n36  = n35'
   n37  = (n36'n30')
   n38  = (n37'n27')
   n39  = (n38'n11')
   n40  = (n12'x4')
   n41  = (n40'n17')
   n42  = (x7'x6')
   n43  = (n42'n32')
   n44  = n43'
   n45  = (n44'n41')
   n46  = (n45'x3')
   n47  = n22'
   n48  = n34'
   n49  = (n48'n47')
   n50  = (n49'n46')
   n51  = (n50'x8')
   n52  = (x3'n17')
   n53  = (n15'x7')
   n54  = n53'
   n55  = (n54'n52')
   n56  = (n55'n12')
   n57  = (n56'n31')
   n58  = (n57'n51')
   n59  = n58'
   n60  = (n59'n39')
   n61  = (n60'x2')
   n62  = (x4'x0')
   n63  = (n62'n11')
   n64  = (n52'x8')
   n65  = (n64'n63')
   n66  = (n65'n12')
   n67  = (x8'x1')
   n68  = (n67'n28')
   n69  = (n68'n21')
   n70  = (n69'n66')
   n71  = (n70'n13')
   n72  = (x8'x4')
   n73  = (n31'n14')
   n74  = n73'
   n75  = (x1'n21')
   n76  = (n75'n11')
   n77  = n76'
   n78  = (n77'n74')
   n79  = (n78'n72')
   n80  = (n79'n12')
   n81  = x2'
   n82  = (n17'n21')
   n83  = n82'
   n84  = (n83'x4')
   n85  = n84'
   n86  = (x8'x3')
   n87  = (n11'n12')
   n88  = (n87'n86')
   n89  = n88'
   n90  = (n89'n85')
   n91  = (n90'n81')
   n92  = n91'
   n93  = (n92'n80')
   n94  = n93'
   n95  = (n94'n71')
   n96  = (x8'n12')
   n97  = n96'
   n98  = (n97'x4')
   n99  = (n98'n95')
  n100  = n99'
  n101  = (n100'n61')
  n102  = (n101'x5')
  n103  = n16'
  n104  = (n62'n32')
  n105  = n104'
  n106  = (n105'n30')
  n107  = n106'
  n108  = (n107'n103')
  n109  = (n31'x0')
  n110  = n109'
  n111  = (n12'x1')
  n112  = n111'
  n113  = (n112'n110')
  n114  = n113'
  n115  = (n114'n14')
  n116  = n52'
  n117  = (x6'x4')
  n118  = n117'
  n119  = (n118'n21')
  n120  = n119'
  n121  = (n120'n116')
  n122  = (n121'n115')
  n123  = n122'
  n124  = (n123'n108')
  n125  = (n124'n11')
  n126  = (n13'x0')
  n127  = (n126'n81')
  n128  = (x7'n21')
  n129  = (n128'n97')
  n130  = n129'
  n131  = (n130'n74')
  n132  = n131'
  n133  = (n132'n127')
  n134  = (n11'x2')
  n135  = n134'
  n136  = (n135'x3')
  n137  = n136'
  n138  = n40'
  n139  = n126'
  n140  = (n139'n138')
  n141  = n140'
  n142  = (n141'n137')
  n143  = (n142'x5')
  n144  = n143'
  n145  = n28'
  n146  = n128'
  n147  = (n146'n118')
  n148  = n147'
  n149  = (n148'n145')
  n150  = n86'
  n151  = (n150'n13')
  n152  = n151'
  n153  = (n152'n114')
  n154  = (n153'n149')
  n155  = n154'
  n156  = (n155'n144')
  n157  = n156'
  n158  = (n157'n133')
  n159  = n158'
  n160  = (n159'n125')
  n161  = n160'
  n162  = (n161'n102')
  n163  = (n162'x9')
.
